CITY,STATE,Citystate,lat,lon,address,state_2,country
MORRIS,IL,Illinois,41.357254,-88.4211785,morris,IL,usa
OREGON,IL,Illinois,42.0147513,-89.3323279,oregon,IL,usa
MARSEILLES,IL,Illinois,41.3308666,-88.7081293,marseilles,IL,usa
BUHL,IL,Illinois,38.595245,-89.801739,lebanon,IL,usa
BYRON,IL,Illinois,42.1269692,-89.2556618,byron,IL,usa
CHAMPAIGN,IL,Illinois,40.1164204,-88.2433829,champaign,IL,usa
FORT WAYNE,IN,Indiana,41.079273,-85.1393513,fort wayne,IN,usa
INDIANAPOLIS,IN,Indiana,39.768403,-86.158068,indianapolis,IN,usa
TOPEKA,KS,Kansas,39.0558235,-95.6890185,topeka,KS,usa
WICHITA,KS,Kansas,37.6871761,-97.330053,wichita,KS,usa
LE ROY,KS,Kansas,38.0843917,-95.6337114,le roy,KS,usa
DODGE CITY,KS,Kansas,37.7527982,-100.0170787,dodge city,KS,usa
KANSAS CITY,KS,Kansas,39.114053,-94.6274636,kansas city,KS,usa
LEXINGTON,KY,Kentucky,38.0405837,-84.5037164,lexington,KY,usa
LOUISVILLE,KY,Kentucky,38.2526647,-85.7584557,louisville,KY,usa
PADUCAH,KY,Kentucky,37.0833893,-88.6000478,paducah,KY,usa
FRANKFORT,KY,Kentucky,38.2009055,-84.8732835,frankfort,KY,usa
BATON ROUGE,LA,Louisiana,30.4514677,-91.1871466,baton rouge,LA,usa
NEW ORLEANS,LA,Louisiana,29.9510658,-90.0715323,new orleans,LA,usa
SHREVEPORT,LA,Louisiana,32.5251516,-93.7501789,shreveport,LA,usa
BOSTON,MA,Massachusetts,42.3600825,-71.0588801,boston,MA,usa
LAWRENCE,MA,Massachusetts,42.7070354,-71.1631137,lawrence,MA,usa
PLYMOUTH,MA,Massachusetts,41.9584457,-70.6672621,plymouth,MA,usa
ROWE,MA,Massachusetts,42.6934166,-72.899542,rowe,MA,usa
WORCESTER,MA,Massachusetts,42.2625932,-71.8022934,worcester,MA,usa
JAMAICA PLAINS,MA,Massachusetts,42.3097365,-71.1151431,jamaica plain,MA,usa
BALTIMORE,MD,Maryland,39.2903848,-76.6121893,baltimore,MD,usa
LUSBY,MD,Maryland,38.3583413,-76.4389549,lusby,MD,usa
CONOWINGO,MD,Maryland,39.6779267,-76.1590765,conowingo,MD,usa
ORONO,ME,Maine,44.8831125,-68.6719411,orono,ME,usa
PORTLAND,ME,Maine,43.6590993,-70.2568189,portland,ME,usa
WISCASSET,ME,Maine,44.0028921,-69.665583,wiscasset,ME,usa
AUGUSTA,ME,Maine,44.3106241,-69.7794897,augusta,ME,usa
BAY CITY,MI,Michigan,43.5944677,-83.8888647,bay city,MI,usa
DETROIT,MI,Michigan,42.331427,-83.0457538,detroit,MI,usa
E. LANSING,MI,Michigan,42.7369792,-84.4838654,east lansing,MI,usa
GRAND RAPIDS,MI,Michigan,42.9633599,-85.6680863,grand rapids,MI,usa
LANSING,MI,Michigan,42.732535,-84.5555347,lansing,MI,usa
MONROE,MI,Michigan,41.9164343,-83.3977101,monroe,MI,usa
S. HAVEN,MI,Michigan,42.4030865,-86.2736407,south haven,MI,usa
BRIDGMAN,MI,Michigan,41.9430986,-86.5569659,bridgman,MI,usa
CHARLEVOIX,MI,Michigan,45.3180632,-85.2584004,charlevoix,MI,usa
DULUTH,MN,Minnesota,46.7866719,-92.1004852,duluth,MN,usa
MINNEAPOLIS,MN,Minnesota,44.977753,-93.2650108,minneapolis,MN,usa
MINNEAPOLIS/ST. PAUL,MN,Minnesota,44.9374831,-93.2009998,twin cities,MN,usa
MONTICELLO,MN,Minnesota,45.3055201,-93.7941378,monticello,MN,usa
RED WING,MN,Minnesota,44.5660691,-92.5369563,red wing,MN,usa
South Saint Paul,MN,Minnesota,44.8759802,-93.0275802,south st paul,MN,usa
Saint Paul,MN,Minnesota,44.9537029,-93.0899578,st paul,MN,usa
WELCH,MN,Minnesota,44.5683003,-92.7385321,welch,MN,usa
JEFFERSON CITY,MO,Missouri,38.5767017,-92.1735164,jefferson city,MO,usa
SPRINGFIELD,MO,Missouri,37.2089572,-93.2922989,springfield,MO,usa
ST. LOUIS,MO,Missouri,38.6270025,-90.1994042,st. louis,MO,usa
KANSAS CITY,MO,Missouri,39.0997265,-94.5785667,kansas city,MO,usa
JACKSON,MS,Mississippi,32.2987573,-90.1848103,jackson,MS,usa
PORT GIBSON,MS,Mississippi,31.9607734,-90.9817325,port gibson,MS,usa
BILLINGS,MT,Montana,45.7832856,-108.5006904,billings,MT,usa
HELENA,MT,Montana,46.5891452,-112.0391057,helena,MT,usa
KALISPELL,MT,Montana,48.1919889,-114.316813,kalispell,MT,usa
CHARLOTTE,NC,North Carolina,35.2270869,-80.8431267,charlotte,NC,usa
GREENSBORO,NC,North Carolina,36.0726354,-79.7919754,greensboro,NC,usa
RALEIGH,NC,North Carolina,35.7795897,-78.6381787,raleigh,NC,usa
WILMINGTON,NC,North Carolina,34.2257255,-77.9447102,wilmington,NC,usa
SOUTHPORT,NC,North Carolina,33.921563,-78.0202677,southport,NC,usa
BISMARCK,ND,North Dakota,46.8083268,-100.7837392,bismarck,ND,usa
MINOT,ND,North Dakota,48.2329668,-101.2922906,minot,ND,usa
LINCOLN,NE,Nebraska,40.813616,-96.7025955,lincoln,NE,usa
OMAHA,NE,Nebraska,41.2565369,-95.9345034,omaha,NE,usa
RULO,NE,Nebraska,40.0524616,-95.4292764,rulo,NE,usa
KEARNEY,NE,Nebraska,40.6993303,-99.0816784,kearney,NE,usa
CONCORD,NH,New Hampshire,43.2081366,-71.5375718,concord,NH,usa
MANCHESTER,NH,New Hampshire,42.9956397,-71.4547891,manchester,NH,usa
OYSTER CREEK,NJ,New Jersey,39.5042843,-74.4165373,oyster creek,NJ,usa
EDISON,NJ,New Jersey,40.5187154,-74.4120953,edison,NJ,usa
TRENTON,NJ,New Jersey,40.2205824,-74.759717,trenton,NJ,usa
WARETOWN,NJ,New Jersey,39.7915084,-74.1951395,waretown,NJ,usa
BAYSIDE,NJ,New Jersey,39.3814052,-75.4015842,bayside,NJ,usa
NAVAJO DAM,NM,New Mexico,36.8,-107.613,navajo dam,NM,usa
ALBUQUERQUE,NM,New Mexico,35.0843859,-106.650422,albuquerque,NM,usa
ESPANOLA,NM,New Mexico,35.9910383,-106.0818233,espaê±ola,NM,usa
SANTA FE,NM,New Mexico,35.6869752,-105.937799,santa fe,NM,usa
CARLSBAD,NM,New Mexico,32.4206736,-104.2288375,carlsbad,NM,usa
SAIPAN,CNMI,Mariana Islands,15.1850483,145.7467259,saipan,Northern Mariana Islands,usa
BOULDER CITY,NV,Nevada,35.9782216,-114.8345117,boulder city,NV,usa
LAS VEGAS,NV,Nevada,36.1699412,-115.1398296,las vegas,NV,usa
RENO,NV,Nevada,39.5296329,-119.8138027,reno,NV,usa
ALBANY,NY,New York,42.6525793,-73.7562317,albany,NY,usa
BUFFALO,NY,New York,42.8864468,-78.8783689,buffalo,NY,usa
HAUPPAUGE,NY,New York,40.8256536,-73.2026138,hauppauge,NY,usa
New York City,NY,New York,40.7127753,-74.0059728,new york,NY,usa
NEW YORK CITY,NY,New York,40.7127753,-74.0059728,new york,NY,usa
NIAGARA FALLS,NY,New York,43.0962143,-79.0377388,niagara falls,NY,usa
OSSINING,NY,New York,41.1628731,-73.8615246,ossining,NY,usa
OSWEGO,NY,New York,43.4553461,-76.5104973,oswego,NY,usa
POUGHKEEPSIE,NY,New York,41.7003713,-73.9209701,poughkeepsie,NY,usa
ROCHESTER,NY,New York,43.1565779,-77.6088465,rochester,NY,usa
SENECA,NY,New York,42.8466914,-77.0794705,seneca,NY,usa
SYRACUSE,NY,New York,43.0481221,-76.1474244,syracuse,NY,usa
YAPHANK,NY,New York,40.8367653,-72.9170487,yaphank,NY,usa
CROTON-ON-HUDSON,NY,New York,41.2084278,-73.8912481,croton-on-hudson,NY,usa
LOCKPORT,NY,New York,43.1706128,-78.6903098,lockport,NY,usa
CHELSEA,NY,New York,40.7465004,-74.0013737,chelsea,NY,usa
CINCINNATI,OH,Ohio,39.1031182,-84.5120196,cincinnati,OH,usa
CLEVELAND,OH,Ohio,41.49932,-81.6943605,cleveland,OH,usa
COLUMBUS,OH,Ohio,39.9611755,-82.9987942,columbus,OH,usa
ROSS TWP,OH,Ohio,39.3439085,-84.6688348,ross township,OH,usa
TOLEDO,OH,Ohio,41.6528052,-83.5378674,toledo,OH,usa
E. MOLINE,OH,Ohio,41.5586621,-83.5113207,moline,OH,usa
East LIVERPOOL,OH,Ohio,40.6186756,-80.5772928,east liverpool,OH,usa
PAINESVILLE,OH,Ohio,41.7244885,-81.245657,painesville,OH,usa
OKLAHOMA CITY,OK,Oklahoma,35.4675602,-97.5164276,oklahoma city,OK,usa
TULSA,OK,Oklahoma,36.1539816,-95.992775,tulsa,OK,usa
OTTAWA,ON,Ontario,45.4215296,-75.6971931,ottawa,ON,canada
CORVALLIS,OR,Oregon,44.5645659,-123.2620435,corvallis,OR,usa
PORTLAND,OR,Oregon,45.5230622,-122.6764815,portland,OR,usa
WESTPORT,OR,Oregon,46.1326105,-123.3748481,westport,OR,usa
BRADWOOD,OR,Oregon,46.1967768,-123.4390184,bradwood,OR,usa
MIDDLETOWN,PA,Pennsylvania,40.1547199,-76.7252093, middletown,PA,usa
TMI,PA,Pennsylvania,40.1547199,-76.7252093, middletown,PA,usa
COLUMBIA,PA,Pennsylvania,40.0337085,-76.5044098,columbia,PA,usa
HARRISBURG,PA,Pennsylvania,40.2731911,-76.8867008,harrisburg,PA,usa
LANCASTER,PA,Pennsylvania,40.0378755,-76.3055144,lancaster,PA,usa
PHILADELPHIA,PA,Pennsylvania,39.9525839,-75.1652215,philadelphia,PA,usa
PITTSBURGH,PA,Pennsylvania,40.4406248,-79.9958864,pittsburgh,PA,usa
PLYMOUTH,PA,Pennsylvania,41.2403596,-75.9446428,plymouth,PA,usa
GOLDSBORO,PA,Pennsylvania,40.152593,-76.7502467,goldsboro,PA,usa
DANVILLE,PA,Pennsylvania,40.96342,-76.6127329,danville,PA,usa
BLOOMSBURG,PA,Pennsylvania,41.003698,-76.4549457,bloomsburg,PA,usa
MIDDLETOWN,PA,Pennsylvania,40.199814,-76.7310806,middletown,PA,usa
ANCON,PANAMA,Panama,9.052817,-79.616521,ancê_n,Panama,panama
Balboa,PANAMA,Panama,8.9613962,-79.5631537,balboa,Panama,panama
Corozal,PANAMA,Panama,8.9889461,-79.5743915,corozal,Panama,panama
PROVIDENCE,RI,Rhode Island,41.8239891,-71.4128343,providence,RI,usa
SAN JUAN,PR,Puerto Rico,18.406389,-66.063889,san juan,Puerto Rico,usa
ANDERSON,SC,South Carolina,34.5034394,-82.6501332,anderson,SC,usa
CHARLESTON,SC,South Carolina,32.7764749,-79.9310512,charleston,SC,usa
CHARLESTON,SC,South Carolina,32.7764749,-79.9310512,charleston,SC,usa
COLUMBIA,SC,South Carolina,34.0007104,-81.0348144,columbia,SC,usa
ROCK HILL,SC,South Carolina,34.9248667,-81.0250784,rock hill,SC,usa
SENECA,SC,South Carolina,34.6856555,-82.9532036,seneca,SC,usa
HARTSVILLE,SC,South Carolina,34.3740431,-80.0734005,hartsville,SC,usa
ALLENDALE,SC,South Carolina,33.0079345,-81.3084405,allendale,SC,usa
BARNWELL,SC,South Carolina,33.2448733,-81.3587177,barnwell,SC,usa
BROAD RIVER,SC,South Carolina,34.1356058,-81.1966634,broad river,SC,usa
JENKINSVILLE,SC,South Carolina,34.2678691,-81.2879803,jenkinsville,SC,usa
RAPID CITY,SD,South Dakota,44.0805434,-103.2310149,rapid city,SD,usa
PIERRE,SD,South Dakota,44.3683156,-100.3509665,pierre,SD,usa
CHATTANOOGA,TN,Tennessee,35.0456297,-85.3096801,chattanooga,TN,usa
DAISY,TN,Tennessee,35.2359025,-85.1907904,soddy-daisy,TN,usa
KNOXVILLE,TN,Tennessee,35.9606384,-83.9207392,knoxville,TN,usa
MEMPHIS,TN,Tennessee,35.1495343,-90.0489801,memphis,TN,usa
NASHVILLE,TN,Tennessee,36.1626638,-86.7816016,nashville,TN,usa
OAK RIDGE,TN,Tennessee,36.0103561,-84.2696449,oak ridge,TN,usa
ATHENS,TN,Tennessee,35.4428512,-84.5929898,athens,TN,usa
BULL RUN,TN,Tennessee,36.0309132,-84.0935262,bull run,TN,usa
CLINCH R.,TN,Tennessee,35.955571,-83.938709,medical office building,TN,usa
KINGSTON,TN,Tennessee,35.8809084,-84.5085447,kingston,TN,usa
AMARILLO,TX,Texas,35.2219971,-101.8312969,amarillo,TX,usa
AUSTIN,TX,Texas,30.267153,-97.7430608,austin,TX,usa
CORPUS CHRISTI,TX,Texas,27.8005828,-97.396381,corpus christi,TX,usa
DALLAS,TX,Texas,32.7766642,-96.7969879,dallas,TX,usa
EL PASO,TX,Texas,31.7618778,-106.4850217,el paso,TX,usa
FORT WORTH,TX,Texas,32.7554883,-97.3307658,fort worth,TX,usa
HARLINGEN,TX,Texas,26.1906306,-97.6961026,harlingen,TX,usa
HOUSTON,TX,Texas,29.7604267,-95.3698028,houston,TX,usa
LAREDO,TX,Texas,27.5305671,-99.4803241,laredo,TX,usa
LUBBOCK,TX,Texas,33.5778631,-101.8551665,lubbock,TX,usa
SAN ANGELO,TX,Texas,31.4637723,-100.4370375,san angelo,TX,usa
SAN ANTONIO,TX,Texas,29.4241219,-98.4936282,san antonio,TX,usa
MATAGORDA,TX,Texas,28.691133,-95.9682714,matagorda,TX,usa
SALT LAKE CITY,UT,Utah,40.7607793,-111.8910474,salt lake city,UT,usa
ST. GEORGE,UT,Utah,37.0965278,-113.5684164,st. george,UT,usa
DOSWELL,VA,Virginia,37.8654625,-77.4645517,doswell,VA,usa
HARRISONBURG,VA,Virginia,38.4495688,-78.8689155,harrisonburg,VA,usa
LYNCHBURG,VA,Virginia,37.4137536,-79.1422464,lynchburg,VA,usa
NEW PORT,VA,Virginia,37.0870821,-76.4730122,newport news,VA,usa
NEWPORT NEWS,VA,Virginia,37.0870821,-76.4730122,newport news,VA,usa
NORFOLK,VA,Virginia,36.8507689,-76.2858726,norfolk,VA,usa
RICHMOND,VA,Virginia,37.5407246,-77.4360481,richmond,VA,usa
VIRGINIA BEACH,VA,Virginia,36.8529263,-75.977985,virginia beach,VA,usa
ASHLAND,VA,Virginia,37.7590318,-77.4799837,ashland,VA,usa
ST THOMAS,VI,Virgin Islands,18.3380965,-64.8940946,st thomas,VI,usa
VERNON,VT,Vermont,42.7620271,-72.5134223,vernon,VT,usa
MONTPELIER,VT,Vermont,44.2600593,-72.5753869,montpelier,VT,usa
BURLINGTON,VT,Vermont,44.4758825,-73.212072,burlington,VT,usa
ELLENSBURG,WA,Washington,46.9965144,-120.5478474,ellensburg,WA,usa
NORTHPORT,WA,Washington,48.9160223,-117.7816505,northport,WA,usa
OLYMPIA,WA,Washington,47.0378741,-122.9006951,olympia,WA,usa
RICHLAND,WA,Washington,46.28042,-119.2751996,richland,WA,usa
SEATTLE,WA,Washington,47.6062095,-122.3320708,seattle,WA,usa
SPOKANE,WA,Washington,47.6587802,-117.4260465,spokane,WA,usa
TACOMA,WA,Washington,47.2528768,-122.4442906,tacoma,WA,usa
"GENOA CITY, Village of",WI,Wisconsin,42.4983517,-88.3281487,genoa city,WI,usa
LA CROSSE,WI,Wisconsin,43.8137751,-91.2519017,la crosse,WI,usa
MADISON,WI,Wisconsin,43.0730517,-89.4012302,madison,WI,usa
MILWAUKEE,WI,Wisconsin,43.0389025,-87.9064736,milwaukee,WI,usa
SHAWANO,WI,Wisconsin,44.7822064,-88.6089917,shawano,WI,usa
TWO CREEKS,WI,Wisconsin,44.3022186,-87.5631378,two creeks,WI,usa
VICTORY,WI,Wisconsin,43.4855292,-91.212632,victory,WI,usa
GENOA,WI,Wisconsin,43.5766383,-91.2242996,genoa,WI,usa
WHEELING,WV,West Virginia,40.0639616,-80.7209149,wheeling,WV,usa
CHARLESTON,WV,West Virginia,38.3498195,-81.6326234,charleston,WV,usa
CHEYENNE,WY,Wyoming,41.1399814,-104.8202462,cheyenne,WY,usa
LARAMIE,WY,Wyoming,41.3113669,-105.5911007,laramie,WY,usa
RIVERTON,WY,Wyoming,43.0249592,-108.3801036,riverton,WY,usa
CASPER,WY,Wyoming,42.8500769,-106.3251749,casper,WY,usa
PANAMA,PANAMA,Panama,8.537981,-80.782127,panama city,Panama City,panama
